Item,Task name,Description,Qty.,Unit,Unit Price ,Total Price
1,Implementation,Line Base Sales Reporting System,1,Unit," 	42,000.00 "," 	42,000.00 "
,,Assessment Phase (ขั้นตอนประเมิน/วิเคราะห์),,,,
,,วิเคราะห์เอกสารและโครงสร้างข้อมูลของ LINE Shopping API,,,,
,,"ออกแบบโครงสร้างฐานข้อมูล (Orders, Customers, Media Links, Status)",,,,
,,ออกแบบ User Flow สำหรับ Admin (อนุมัติ) และพนักงานหน้าร้าน (อัปโหลด),,,,
,,,,,,
,,Backend & API Integration (Ingestion) (พัฒนา Backend และเชื่อมต่อ API เพื่อดึงข้อมูลเข้า),,,,
,,พัฒนา cron job/สคริปต์เพื่อดึงข้อมูล “Daily Paid Orders” จาก LINE Shop API,,,,
,,"บันทึกรายละเอียดออเดอร์ (เลขคำสั่งซื้อ, Customer LINE ID, ประเภทแพ็กเกจ) ลงฐานข้อมูล",,,,
,,จัดการ Error กรณีติด rate limit ของ API และปัญหาซิงก์ข้อมูลไม่ครบ/ไม่ตรงกัน,,,,
,,,,,,
,,Web App Development (Staff & Admin Portal) (พัฒนาเว็บแอปสำหรับ Staff และ Admin),,,,
,,"พัฒนาระบบยืนยันตัวตน (Login/Logout, การจัดการ Session)",,,,
,,หน้าสำหรับ Staff: สร้างหน้าแบบรองรับมือถือเพื่อดูออเดอร์สถานะ “Pending”,,,,
,,หน้าสำหรับ Admin: Dashboard สำหรับตรวจคลิปที่อัปโหลดและกด “Approve”,,,,
,,โมดูลอัปโหลด: เชื่อม QR Scanner/การเข้าถึงกล้องเพื่อบันทึก/อัปโหลดวิดีโอหลักฐานขึ้น Cloud Storage (เช่น AWS S3/Google Drive) โดยตรง,,,,
,,ทำระบบบีบอัดวิดีโอฝั่งหน้าเว็บ และรองรับการอัปโหลดแบบ resumable (ป้องกัน timeout) อาจต้องใช้ S3 Bucket ที่รองรับ/เข้ากันได้กับ iOS,,,,
,,,,,,
,,Automation & Notification (อัตโนมัติและการแจ้งเตือน),,,,
,,เชื่อม LINE Messaging API (Push Message),,,,
,,เงื่อนไข: ส่งข้อความอัตโนมัติเมื่อสถานะของ Admin = “Approved”,,,,
,,ส่งใบประกาศ (รูปภาพ) และลิงก์วิดีโอให้ลูกค้าแต่ละรายตาม LINE ID ที่เกี่ยวข้อง,,,,
,,,,,,
,,Testing & Deployment (ทดสอบและนำขึ้นระบบจริง),,,,
,,UAT: ทดสอบการทำงานครบทั้ง Flow (ซื้อ -> ซิงก์ -> อัปโหลด -> อนุมัติ -> ได้รับแจ้ง/รับของ),,,,
,,Deploy ขึ้น Production Server/Cloud Environment,,,,
,,ส่งมอบเอกสาร (คู่มือการใช้งานสำหรับ Admin/Staff),,,,
,,,,,,
,,,,,,
,,Post-Deployment & Maintenance (หลังขึ้นระบบและบำรุงรักษา),1,," 	5,000.00 "," 	5,000.00 "
,,การบริหารจัดการ Storage: ทำสคริปต์ย้ายเก็บ (archive) หรือ ลบวิดีโอที่เกิน 30/60 วัน เพื่อลดค่าใช้จ่าย Cloud,,,,
,,การจัดการ Token ของ API: เฝ้าระวังและหมุนเวียน/รีเฟรช LINE API Access Tokens (โทเคนแบบอายุยาวมักต้องรีเฟรช) อาจทำทุก ~2 เดือน,,,,
,,,,,,
,,,,,," 	47,000.00 "